English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
"Although in the end, Krushchev sent in tanks to restore order, he did give way to some economic demands and agreed to appoint the popular Wladyslaw Gomulka as the new prime minister.",خروشچف آخرده نظمی قیترماقا گوره تانک یوللادی اما بعضی اقتصادی درخواستلارن قاباقندا تسلیم اولدی و موافق اولدی محبوب ولادیسلاو گمولکلانی نخست وزیر ائلسین.,,,,
The Indus Valley Civilization was a Bronze Age civilisation in the northwest Indian subcontinent encompassing most of modern-day Pakistan and some regions in northwest India and northeast Afghanistan.,سند دره سین تمدنی هندوستان شبه قاره سینن شمال غربی سینده کی ایندیکی پاکستانن چوخنا و هندوستانن شمال غربنده و افغانستانن شمال شرقنده بعضی منطقه لره شامل اولوردی، بیر برنز دوره سین تمدنی دی.,,,,
The civilisation flourished in the basins of the Indus River wherefore it derives its name.,بو تمدن سند چایین حوزه سینده شکوفا اولدی و آدن اونان آلدی.,,,,
"Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s.",بعضی محققلر گومان ائلیللر کی چون بو تمدن ایندی قوروموش ساراسواتی چاین حوزه سنده ده وجودی واریدی گره اونا سند-ساراسواتی تمدنی دسیننر اما بعضی لر اونا هاراپان تمدنی دیللر کی هاراپانن اوسدونن دی کی بیرمینجی منطقه لری 1920 دهه سینده حفاری اولدی.,,,,
The militaristic nature of the Roman empire aided in the development of medical advances.,روم امپراطوریسین نظامی ماهیتی پزشکی پیشرفتلرین ایجاد اولماقنا کمه ائلدی.,,,,
Doctors began to be recruited by Emperor Augustus and even formed the first Roman Medical Corps for use in the aftermath of battles.,امپراطور اگوستوس دهتدلری استخدام ائلماقی باشلادی و حتی بیرمینجی رومی پزشکی سپاهی جنگلردن سورا ایشلتماقا ایجاد ائلدی.,,,,
Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.,جراحلار مختلف آرامبخشلردن مرفین کیمین کی خشخاش تخمنارنان استخراج اولور و اسکوپولامین کی هروئین تخملارنان استخراج اولار، اطلاعلاری واریدی.,,,,
They became proficient at amputation to save patients from gangrene as well as tourniquets and arterial clamps to stem blood flow.,اولار مریضلرین قانقاریا توتماقین قاباقن آلماقنا گوره عضولاری قطع ائلماخدا همده شریان بندده و شریانی گیره نن قانن جریانن قطع ائلماقندا مهارت تاپمشدلار.,,,,
"Over multiple centuries, the Roman empire led to great gains in the field of medicine and formed much of the knowledge we know today.",روم امپراطوریسی نچه قرنلرده پزشکی زمینه سینده بویوه دستاوردلره یتیشدی و او علمین کی بیز ایندی بولورخ چوخون شکل وردی.,,,,
"Pureland origami is origami with the restriction that only one fold may be done at a time, more complex folds like reverse folds are not allowed, and all folds have straightforward locations.",پیورلند اوریگامی بیر اورگامیدی کی محدودیتی بودی کی هر دفعه فقط بیر بوکوه وورا بولر، داها پیچیده بوکوهلر مثلا برعکس بوکوه لر مجاز دیللر و بوکوه لرین هاممسین واضح یرلری وار.,,,,
It was developed by John Smith in the 1970s to help inexperienced folders or those with limited motor skills.,جان اسمیت اونی 1970 دهه سینده تجربه سیز بوکوه وورانلارا یا آز حرکتی مهارتلری اولان آداملارا کمک ائلماقا توسعه وردی.,,,,
Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior.,اوشاقلار اشاقی سنده نژادلاردان و نژادی کلیشه لردن اگاهی تاپللار و بو نژادی کلیشه لر اولارن رفتارنا تاثیر قویر.,,,,
"For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race.",مثلا او اوشاقلار کی بیر نژادی اقلیتدن دیلر کی کلیشه سی بودی کی مدرسه ده تنبل دیلر اوواخ کی بو کلیشه دن کی نژادلارنا مربوط دی خبرلری اولور مدرسه ده یاخجی درس اوخوموللار.,,,,
MySpace is the third most popular website used in the United States and has 54 million profiles currently.,میلیون پروفایلی وار 54مای اسپیس اوچمینجی لاپ چوخ مشتریلی وبسایت امریکادادی کی ایندی,,,,
"These websites have gotten a lot of attention, especially in the education setting.",بو وبسایتلارا چوخ توجه اولوپدی مخصوصا اموزشی حوزه ده.,,,,
"There are positive aspects to these websites, which include, being able to easily setup a class page which can include blogs, videos, photos, and other features.",بو وبسایتلارن مثبت جنبه لری واردی کی بونا شامل الور کی الیه بولرخ راحات بیر کلاس صفحه سی جورریاخ کی وبلاگ، ویدیو، عهس و آیری شیلره شامل السون.,,,,
"This page can easily be accessed by providing just one web address, which makes it easy to remember and easy to type in for students who may have trouble using the keyboard or with spelling.",بیر وب سایتین ادرس وارد الماقنان الیه بولرخ بو صفحیه ال تاپاخ. بو ایش باعث الور اونون یاددا ساخلاماقی راحات السون و اونون استفاده سی نو تایپ الماقن او دانشجولارا کی کیبورددان استفاده الیممللر یا املانان مشکللری وار، راحات الیری.,,,,
It can be customized to make it easy to read and also with as much or little color as desired.,اونون راحات اوخوماقا گوره عوض لیه بولریخ و اونا رنگ اضافه لدیپ یا رنگلرینن آزالدا بولرخ.,,,,
"Attention Deficit Disorder ""is a neurological syndrome whose classic defining triad of symptoms including impulsivity, distractibility, and hyperactivity or excess energy"".","نقض توجه اختلالی"" بیر نورولوژیک سندرمدی کی کلاسیک سه گانه علائمی تکانشگری، حواس پرت اولماق و بیش فعاللق یا اضافه انرژی دی"".",,,,
"It is not a learning disability, it is a learning disorder; it ""affects 3 to 5 percent of all children, perhaps as many as 2 million American children"".","بو بیر اورگشماق معلولیتی دییر، بیر اورگشماق اختلالی دی؛ او"" اوشاخلارن هاممیسین 3 تا 5 درصدین مبتلا ائلیر و شاید 2 میلیون آمریکالی اوشاخ اونا مبتلا دلار "".",,,,
"Children with ADD have a hard time focusing on things like school work, but they can concentrate on things they enjoy doing like playing games or watching their favorite cartoons or writing sentences without punctuation.",او اوشاخلار کی نقص توجه اختلاللاری وار مدرسه تکلیفین اوسدونده کیمین شیلرده چتینلقنان تمرکز ائلیه بوللر اما او شیلرن اوسدونده کی اولارن انجام ورماقنان حظ ائلیللر مثلا گیم اویناماق یا اوزلری سوین کارتونلارا باخماق یا نگارشی علامت سیز جمله یازماقا تمرکز ائلیه بوللر.,,,,
"These children tend to get into a lot of trouble, because they ""engage in risky behaviors, get into fights, and challenge authority"" in order to stimulate their brain, since their brain can not be stimulated by normal methods.","بو اوشاقلار چوخلی مشکللری اولار چون اولار ""خطرلری فعالیتلر ائلیللر، دعوا ائلیللر، قدرتلی آداملاری چالشه چکللر"" تا مغزلرین تحریک ائلسیننر چون اولارن مغزلری معمولی یوللارنان تحریک اولماز.",,,,
ADD affects relationships with other peers because other children can not understand why they act the way that they do or why they spell they way they do or that their maturity level is different.,نقص توجه اختلالی همتالارنان ارتباطلارین اوسدونده تاثیر قویار چون اوبیسی اوشاخلار درک ائلیممللر نیه اولار اوجور رفتار ائلیللر یا اوجور هجی ائلیللر یا اولارن بیوماخ سطحی فرقلی دی.,,,,
As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.,علم ائله گتماقنان اورگشماقن توانایی سی اشاره ائلموش روشینن عوض لشنن سورا پایه نرخ کی اوندا علم ائله گلردی عوض لشدی.,,,,
"The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.",اطلاعات ائله گتماق روشی فرقلی دی. داها جداگانه یادا گتماق اوسدونه تاکید ائلمیردلر بلکه متنی یادا گتماقا متمرکز اولدولار.,,,,
"In essence, the Renaissance made a significant change in the approach to learning and the dissemination of knowledge.",اساسا رنسانس بیر قابل توجه تغییر اورگشماق روشنده و علمین منتشر ائلماقندا ایجاد ائلدی.,,,,
"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees.",انسانلار اوبیسی نخستیان لارن برعکسی ائللرنن داها حرکت ائلماقا یا وزنلرین تحمل ائلماقنا یا آغاشلاردان آسلانماقا استفاده ائلمیللر.,,,,
"The chimpanzee's hand and foot are similar in size and length, reflecting the hand's use for bearing weight in knuckle walking.",شامپانزه نین الینن ایاقی سایزنان اوزوننقدا مشابه دیلر، کی الین استفاده سین دیزینن یرماقدا وزنین تحملنه گؤره نشان وئرر.,,,,
"The human hand is shorter than the foot, with straighter phalanges.",آدامن اَلی ایاقنان قسسادی و بارماخلارین سوموهلری داها صاف دی.,,,,
Fossil hand bones two million to three million years old reveal this shift in specialization of the hand from locomotion to manipulation.,فسیل اَل سوموهلری کی ایکی میلیون نان اوچ میلیوناجان قدمتلری وار بو تغییری اَلین تخصصی اولماقن حرکت ائله ماخ دان النن ایش انجام ورماقا معلوم ائلیر.,,,,
Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting.,بعضی آداملار اعتقادلاری وار کی چوخلی مصنوعی ایجاد اولموش شفاف یوخولارن تجربه ائله ماقی آدامی یرقون ائلیه بولر.,,,,
The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states.,بو پدیده نین اصلی علتی بودی کی شفاف یوخولار زمان مدتین رِم  دوره لرین آراسندا چوخالداللار,,,,
"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.",ایه  REMلرین تعدادی هر گجه آزالا بو وضعیت کی اوندا واقعا یاتسز و بدنز اوزون بازسازی ائلیر او قدر آز اتفاق دوشر کی بیر مشکل ایجاد ائلمز.,,,,
This is just as exhausting as if you were to wake up every twenty or thirty minutes and watch TV.,بو همان قدر یورقون ائلین دی کی قرار اولیدی هر ایمی یا اتوز دیقه دوراسز و تلویزیونا باخاسز .,,,,
The effect is dependent on how often your brain attempts to lucidly dream per night.,اونون تاثیری بونا بستگی سی وار کی مغزز هر گجه سعی ائلیر نچه دفعه شفاف یوخو گورسون.,,,,
"Things did not go well for the Italians in North Africa almost from the start. Within a week of Italy's declaration of war on June 10, 1940, the British 11th Hussars had seized Fort Capuzzo in Libya.",ایتالیاللار اولدن شمالی آفریقادا شانس گتمدلر. مینجی هوسارز کاپونزی قلعه سینی لیبیده اشغال الدی 11 دا 10 ایلین ژوئنن 1940 بیر هفته ایتالیانن اعلام جنگنن سورا.,,,,
"In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.",بیر کمین ده، بردیانن شرقنده، انگلیسلیلر ایتالیانن اونمینجی لشکرین سرمهندسی ژنرال لاستوچینی دستگیر الدیلر.,,,,
"On June 28, Marshal Italo Balbo, the Governor-General of Libya and apparent heir to Mussolini, was killed by friendly fire while landing in Tobruk.",اینده، مارشال ایتالو بالبو، لیبینین ژنرال-حاکمی و موسیلینینین وارثی، توبروک دا قردشی بیلسین الدوردی 28 ژوئنن,,,,
"The modern sport of fencing is played at many levels, from students learning at a university to professional and Olympic competition.",مدرن شمشیربازی ورزشی چوخ سطحلره دانشجولاردان کی دانشگاه دا اورگشیللر حرفه ای نن اولمپیک رقابتلرنه جان انجام اولور.,,,,
"The sport is primarily played in a duel format, one fencer dueling another.",بو ورزش دوئل صورتنه انجام اولار و بیر شمشیرباز اوبیسینن دوئل ائلیر.,,,,
Golf is a game in which players use clubs to hit balls into holes.,گلف بیر اویون دی کی اوینیننر چماقدان توپلاری باجالارن ایچینه سالماقا استفاده ائلیللر.,,,,
"Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth.",بیر معمولی رانددا اون سگز باجا اوینیللر و اویونچولار گلف زمیننده بیرمینجی باجادان باشلیللر و اون دگزمینجی باجادا قوتولاللار.,,,,
"The player who takes the fewest strokes, or swings of the club, to complete the course wins.",او اویونچی کی مسیری طی ائلماقا لاپ آز ضربه وورا یا چماقی فرراندرا برنده اولار.,,,,
"The game is played on grass, and the grass around the hole is mown shorter and called the green.",اویون چمنین اوسدونده انجام اولار و باجانن دوره سینده کی چمن داها قیسسا وورولار و اونا سبز دیللر.,,,,
Perhaps the most common type of tourism is what most people associate with traveling: Recreation tourism.,شاید توریسمن لاپ رایج نوعی اودی کی آداملارن چوخی مسافرتنن تداعی ائلیللر: تفریحی توریسم.,,,,
This is when people go to a place that is very different from their regular day-to-day life to relax and have fun.,بو او زمان اتفاق دوشر کی آداملار استراحته و خوش گچتماقا بیر یره گدللر کی معمولی روزمره زندگاننقلارینن چوخ فرقی وار.,,,,
"Beaches, theme parks and camp grounds are often the most common places frequented by recreational tourists.",دریا گراقی، تم پارکلاری نن کمپ یرلری لاپ رایج یرلردلر کی تفریحی توریستلر اولارا رفت و آمد ائلیللر.,,,,
If the objective of one’s visit to a particular place is to get to know its history and culture then this type of tourism is known as cultural tourism.,ایه بیر نفرین هدفی بیر یری گورماخ دان اونون تاریخینن فرهنگن تانماق اولا بو نوع توریسمه فرهنگی توریسم دیرخ.,,,,
Tourists may visit different landmarks of a particular country or they may simply opt to focus on just one area.,توریستلر ممکندی بیر خاص کشورن مختلف گورملی یرلرینه باش ووراللار یا ممکن دی ترجیح ورللر فقط بیر ناحیه نین اوسدونده تمرکز ائلیللر.,,,,
"The Colonists, seeing this activity, had also called for reinforcements.",مستعمره ده یاشینلر کی بو فعالیتی گوردولر امدادی نیرو درخواست ائلمیشدیلر.,,,,
"Troops reinforcing the forward positions included the 1st and 3rd New Hampshire regiments of 200 men, under Colonels John Stark and James Reed (both later became generals).",سربازلار کی قاباقا گتماخ وضعیتین تقویت ائلیردلر نیو همپشایر 1 مینجی نن 3 مینجی 200 نفرلخ هنگلره شامل اولوردی کی فرماندهلری کلنل جان استارک نان جیمز ریدی دی (ایکیسی ده بعدا ژنرال اولدولار).,,,,
Stark's men took positions along the fence on the north end of the Colonist's position.,استارکن سربازلاری خاکریزن کنارندا مستعمره نشینلرین یرلرین شمالندا قرار تاپدلار.,,,,
"When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach.",اوواخ کی ائلچاخ شپه میستیک چایندا شبه جزیره نن شمال شرقی سینده بیر فاصله آشدی، اولار سون کرانه سینده بیر چیچیه ساحلده نرده نی بیر ائلچاخ داش دووارنان شمالی انتهایه گسترش وردلر.,,,,
Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.,گریدلی یا استارک بیر تیری نرده نین 100 فوت دقندا (30 متر) قرار وردلر و دستور وردلر اوواخداجان کی ارتشن کادری اونان گشمییپ اونا شلیک ائلمسیننر.,,,,
The American plan relied on launching coordinated attacks from three different directions.,آمریکانن نقشه سی تعدیل اولموش حمله لرین اوچ طرفدن انجام ورماقنا متکی دی.,,,,
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.",ژنرال جان کدوالدر بیر انحرافی حمله نی بریتانیانن پادگاننا بوردنتاوندا انجام ورجاخ تا نیرو یوللاماقن یولن مسدود ائلسن.,,,,
"General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping.",ژنرال جیمز اوینگ ترنتون فری ده 700 شبه نظامینی چایدان گچدجاخ، اسونپینک کریک اوسدونده اولان پلی آلا و دشمن سربازلارن گاشماقین قاباقن آلا.,,,,
"The main assault force of 2,400 men would cross the river nine miles north of Trenton, and then split into two groups, one under Greene and one under Sullivan, in order to launch a pre-dawn attack.",2400 نفر اصلی حمله نیروسی، گون چخاننان قاباخ حمله سین انجام ورماقا دوگز مایل ترنتونن شمالندا چایدان گچدی و ایکی گروها تقسیم اولدی کی بیرین رهبری گرین و بیرینکی سالیوان اولدی.,,,,
"With the change from the quarter to the half mile run, speed becomes of much less importance and endurance becomes an absolute necessity.",یک چهارم مایل یرنه یارم مایل قاشماقنان سرعتن اهمیتی چوخ آزالر و استقامت بیر مطلق ضرورت اولور.,,,,
"Of course a first-class half-miler, a man who can beat two minutes, must be possessed of a fair amount of speed, but endurance must be cultivated at all hazards.",البته بیر درجه یک یارم مایل قاچانی، بیر آدام کی ائلیه بولر ایکی دقیقه ده بو مسافتی قاچا، گره یاخجی سرعتی اولا اما استقامت خطرلرین هامیسینن گره بهتر اولا.,,,,
"Some cross country running during the winter, combined with gymnasium work for the upper part of the body, is the best preparation for the running season.",قشدا مملکتین بیر طرفنن آیری طرفنه قاشماخ، کی بدنین اوست طرفینه ژیمناستیک تمرین ائلماقنان ترکیب اولا قاشماق فصلینه آماده اولماقا لاپ یاخجی تمریندی.,,,,
"Proper nutritional practices alone cannot generate elite performances, but they can significantly affect young athletes' overall wellness.",مناسب تغذیه تهجه ائلیممز ممتاز کارایی ایجاد ائلیه اما جوان ورزشکارلارن کلی سلامتلقلارنا چوخ تاثیر قویا بولر.,,,,
"Maintaining a healthy energy balance, practicing effective hydration habits, and understanding the various aspects of supplementation practices can help athletes improve their performance and increase their enjoyment of the sport.",سالم انرژینی متعادل ساخلاماخ، موثر آبرسانی عادتلری انجام ورماخ، تکمیلی ایشلرین مختلف جنبه لرین دوشونماخ، ورزشکارلارا کمک ائلیر عملکردلرین ارتقا رسیننر و ورزشدن داها حظ ائلسیننر.,,,,
"Middle distance running is a relatively inexpensive sport; however, there are many misconceptions regarding the few pieces of equipment required to participate.",متوسط مسافت قاشماق تقریباً هزینه سیز ورزشدی؛ اما نچه وسیله نین موردنده کی شرکت ائلماقا لازم دیلر چوخ اشتباه برداشتلار وار.,,,,
"Products can be purchased as needed, but most will have little or no real impact on performance.",وسایلی لازم اولان صورتده آلماخ اولار اما چوخین عملکردن اوسدونده تاثیری اولمیجاخ یا آز تاثیری اولاجاخ.,,,,
Athletes may feel that they prefer a product even when it provides no real benefits.,ورزشکارلار ممکندی احساس ائلیللر بیر وسیلیه نیازلاری وار حتی ایه او هش دودان منفعتی اولمیه.,,,,
The atom can be considered to be one of the fundamental building blocks of all matter.,اتم تمام موادن اساسی جورریننرینن حساب اولا بولر.,,,,
"Its a very complex entity which consists, according to a simplified Bohr model, of a central nucleus orbited by electrons, somewhat similar to planets orbiting the sun - see Figure 1.1.",او بیر چوخ پیچیده پدیده دی کی ساده اولموش بور مدلن طبقنده بیر مرکزی هسته دن تشکیل اولور کی الکترونلار،تقریبا همان جور کی سیاره لر گونن دوره سینه دولاناللار، اونون دوره سینه دولاناللار-1.1 شکله مراجعه ائلیین.,,,,
The nucleus consists of two particles - neutrons and protons.,هسته ایکی ذره دن تشکیل اولار-نوترون نان پروتون.,,,,
Protons have a positive electric charge while neutrons have no charge. The electrons have a negative electric charge.,پروتونلار مثبت الکتریکی بارلاری وار اما نوترونلار هش بارلاری یوخدی. الکترونلار منفی الکتریکی بارلاری واردی.,,,,
"To Check the victim, you must first survey the scene to ensure your safety.",قربانی نی چک ائلماقا سیز گره صحنه نی بررسی ائلیسیز تا امن اولماقزدان مطمئن اولاسز.,,,,
You need to notice the victim's position as you approach him or her and any automatic red flags.,سیز گره قربانیه یخین لشنده اونون موقعیتین و خودکار هشدارلاری متوجه اولاسز.,,,,
"If you get hurt trying to help, you may only serve to make matters worse.",ایه کمک ائلینده آسیب ییسز ممکندی فقط اوضاعی لاپ بترلدسز.,,,,
"The study found that depression, fear and catastrophising mediated the relationship between pain and disability in lower back pain sufferers.",بررسی گورستدی کی افسردلق، گوخی و فاجعه بولماخ آری نن ناتوانلقن رابطه سین آراسندا اولاردا کی بللرین اشاسی آریر، میانجی دیلر.,,,,
"Only the effects of catastrophizing, not depression and fear was conditional of regular weekly structured PA sessions.",فقط فاجعه انگارین تاثیرلری، منظم هفتگی تنظیم اولموش دکتر دستیارین جلسه لرینه مشروطی دی و افسرده لقنان گوخی بوجور دیللر.,,,,
Those participating in regular activity required more support in terms of negative perception of pain distinguishing the differences of chronic pain and discomfort feel from normal physical movement.,اولار کی منظم فعالیتلری وار آری نن منفی احساسین نظرینن، مزمن آری نن معمولی فیزیکی حرکتنه گوره ایجاد اولان ناراحاتچلق احساسناین اراسیندا فرق قویماقا گوره داها چوخ حمایته نیازلاری وار.,,,,
"Vision, or the ability to see depends on visual system sensory organs or eyes.",بینایی یا گورماخ توانایی سی بینایی سیستمین حسگر عضولرینه یا گؤزلره بستگی سی وار.,,,,
"There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism.",گئوزلرین چوخ ختلف ساختارلاری واردی کی اولارن پیچیده لقی ارگانیسمن ضروریاتتنا بستگی سی وار.,,,,
"The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",مختلف ساختارلار مختلف قابلیتلری واردی، مختلف موج لارن اوزوننوقنا حساس دلار و تیزلق لاری فرقلی دی، همده ورودی دن باش چخاتماقا مختلف تحلیللره و بهینه ایشلماقا مختلف شماره لره نیازلاری واردی.,,,,
A population is the collection of organisms of a particular species within a given geographic area.,بیر جمعیت، بیر گونه نین ارگانیسملرین جمع اولماقی بیر معلوم جغرافیایی منطقه ددی.,,,,
When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic.,وقتی کی افراد بیر جمعیت ده بیر فنوتیپی ویژگین لحاظنان عین هم دیلر اولارا تک ریخت دیللر.,,,,
When the individuals show several variants of a particular trait they are polymorphic.,وقتی افراد بیر ویژگینن نچه مختلف تنوعن شکلن گورسدللر اولارا چند ریخت دیللر.,,,,
Army ant colonies march and nest in different phases as well.,سرباز قارشقالارن کلونی لری مختلف مرحله لرده رژه گدیپ و آشیانه جورریللر.,,,,
"In the nomadic phase, army ants march at night and stop to camp during the day.",آواره لق مرحله سینده سرباز قارشقالار گجه لر رژه گدللر و گونوز اردوگاه وورماقا دوراللار.,,,,
"The colony begins a nomadic phase when available food has decreased. During this phase, the colony makes temporary nests that are changed everyday.",کلونی اوواخ کی غذا آزالا آواره لق مرحله نی باشلیر. بو مرحله ده کلونی موقت اوقالار جورریر کی هر گون عوضلشللر.,,,,
Each of these nomadic rampages or marches lasts for approximately 17 days.,بو آوارا لقنان وحشیگرلخلار یا رژه لر تقریباً ۱۷ گون چکر.,,,,
"What is a cell? The word cell comes from the Latin word ""cella"", meaning ""small room"", and it was first coined by a microscopist observing the structure of cork.","بیر سلول نمنه دی؟ سلول کلمه سی لاتین کلمه سی"" سلا "" دان گلر کی"" چیچیه اتاق"" معنی سینه دی و اول دفعه بیر میکروسکوپنان آزمایش ائلینن توسطینن ابداع اولدی.",,,,
"The cell is the basic unit of all living things, and all organisms are composed of one or more cells.",سلول دیری موجودلارن پایه واحدی دی و ارگانیسملارن هاممسی بیر سلول یا اونان چوخدان تشکیل تاپپلار.,,,,
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".","سلول لار یاشایشن برری سینه او قدر پایه ای نن مهم دیلر کی چوخ وخلر اولارا"" یاشایشن ساختمانی واحدلری "" دیللر.",,,,
The Nervous System maintains homeostasis by sending nerve impulses through out the body to keep the flow of blood going as well as undisturbed.,عصبی سیستم هم ایستایی بدنین هر یرنه قانن مشکل سیز جریان تاپماقنا گوره عصبی تکانه لرین یوللاماقینن حفظ ائلیر.,,,,
These nerve impulses can be sent so quickly throughout the body which helps keep the body safe from any potential threat.,بو عصبی تکانه لر او قدر تز بدنین ایچینده یوللانابوللر کی بدنی بالقوه تهدیدلردن حفظ ائلیه بولر.,,,,
"Tornadoes strike a small area compared to other violent storms, but they can destroy everything in their path.",گردبادلاری خشن توفانلارنان مقایسه ائلینده چیچیه منطقه ده اتفاق دوشللر اما ائلیه بوللر هرزادی مسیرلرنده خرابلاسننار.,,,,
"Tornadoes uproot trees, rip boards from buildings, and fling cars up into the sky. The most violent two percent of tornadoes last more than three hours.",گردبادلار آغاشلاری ریشه دن چخارداللار، ساختمانلارن تابلولارن چخارداللار و ماشینلاری هوایه آتاللار. گردبادلارن لاپ قوی ایکی درصدی اوچ ساعات دان چوخ چکللر.,,,,
These monster storms have winds up to 480 km/h (133 m/s; 300 mph).,بو بویوه طوفانلارن سرعتی هر ساعاتدا 480 کیلومتر (هر ثانیه ده 133 متر؛ هر ساعاتدا 300 مایل دی),,,,
Humans have been making and using lenses for magnification for thousands and thousands of years.,آداملار نچه مین ایللر لنزلری یکتماقا جوررییپ و ایشلدپلر.,,,,
"However, the first true telescopes were made in Europe in the late 16th century.",اما بیرمینجی دودان تلسکوپ اروپادا 16 مینجی قرنده جوررندلر.,,,,
These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.,بو تلسکوپلار ایکی لنزین ترکیبنن اوزاخ اشیالاری داها یخین و داها بویوه گورستماقا گوره، استفاده ائلدلر.,,,,
Greed and selfishness will always be with us and it is the nature of cooperation that when the majority benefit there will always be more to gain in the short term by acting selfishly,طمعنن خودخواه لق همیشه بیزنن اولاجاخلار و همکارینن ذاتی بودی کی وقتی اکثریت نفع آپارللار، خودخواهلقنان رفتار ائلماقنان آز مدت ده چوختر منفعت ائله گلر.,,,,
"Hopefully, most people will realise that their long term best option is to work together with others.",خوشبختانه آداملارن چوخی متوجه اولاجاخلار کی اولارن اوزون مدتده یاخجی گزینه سی اوبیسی لرنن ایشلماق دی.,,,,
"Many people dream of the day when humans can travel to another star and explore other worlds, some people wonder what's out there some belive that aliens or other life may live on another plant.",چوخ آداملار او گونه فکر ائلیللر کی آداملار ائلیه بوللر آیری اولدوزا سفر ائلسیننر و آیری دنیالاری کشف ائلسیننر، بعضی آداملار فکر ائلیللر اوردا نمنه وار بعضیلر فکر ائلیللر فضایی لار یا آیری یاشایش ممکن دی آیری سیاره لرده یاشاسننار.,,,,
"But, if this ever does happen probably won't happen for a very long time. The stars are so spread out that there are trillions of miles between stars that are ""neighbors"".","اما بو ایه اتفاق دوشسه احتمالا چوخ چکجاخ. اولدوزلار او قدر پراکنده اولوپلار کی"" همسایه"" اولدوزلارن آراسندا نچه تریلیون مایل فاصله واردی.",,,,
"Maybe one day, your great grandchildren will be standing atop an alien world wondering about their ancient ancestors?",شاید بیر گون سیزین نتیجه لریز بیر بیگانه دنیانون اوسدونده دوراجاخلار و قدیمی جدلرین باره سینده فکر ائلیجاخلار.,,,,
Animals are made of many cells. They eat things and digest them inside. Most animals can move.,حیوانلار چوخ سلول لاردان تشکیل اولوپلار. اولار شیلری ییللر و اولاری ایچیرده هضم ائلیللر. حیوانلارن چوخی حرکت ائلیه بوللر.,,,,
"Only animals have brains (though not even all animals do; jellyfish, for example, do not have brains).",فقط حیوانلارن مغزی وار (اما حتی حیوانلارن هاممیسی یوخلاریدی مثلا ستاره دریایی مغزی یوخدی).,,,,
"Animals are found all over the earth. They dig in the ground, swim in the oceans, and fly in the sky.",حیوانلار یرین هر یرنده تاپلاللار. اولار یری قازاللار، اقیانوسلاردا اوزللر، و گوی ده اوچاللار.,,,,
A cell is the smallest structural and functional unit of a living (things) organism.,بیر سلول بیر دیری (شین) ارگانیسمین لاپ چیچیه ساختاری و عملکردی واحدی دی.,,,,
Cell comes from the Latin word cella which means small room.,سلول لاتین کلمه سلا دان گلر کی چیچیه اتاق معنیسیندی.,,,,
"If you look at living things under a microscope, you will see that they are made of small squares or balls.",ایه بیر میکروسکوپ آلتندا دیری شیلره باخاسز، گوررسیز کی چیچیه مربعلر یا توپلاردان تشکیل اولوپلار.,,,,
"Robert Hooke, a biologist from England, saw small squares in cork with a microscope.",رابرت هوک کی بیر انگلیسلی زیست شناسیدی میکروسکوپنان بیر چوب پنبه ده چیچیه مربعلر گوردی.,,,,
They looked like rooms. He was the first person to observe dead cells,اولار اتاقا اوخشیدلر. او بیرمینجی آدامیدی کی اولموش سلوللاری گوردی.,,,,
Elements and compounds can move from one state to another and not change.,عنصرلارنان ترکیبلر ائلیه بوللر بیر حالتدن اوبیسی حالته تبدیل اولسوننار و تغییر تاپماسننار.,,,,
