English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
There are varying estimates for how many people speak Hindi. It is estimated to be between the second and fourth most commonly spoken language in the world.,Masha kade ram wa mi Hindi ga hpe amyu myu hku shaga ai ngu ai hku tau sawn yu ai lam ni nga ai re. Ndai gaw mungkan hta nambat lahawng hte nambat mali law htum law malawng shaga hkrum ai ga hpan re ai ngu tau sawn da hkrum lai wa sai re.,,,,
The number of native speakers varies depending on whether or not very closely related dialects are counted.,Jauman ga shaga ai masha jahpan ni gaw buga ginra ga ni htep ai hta hkan nna shai mat wa ai.,,,,
"Estimates range from 340 million to 500 million speakers, and as many as 800 million people can understand the language.","Sawn yu ai daram, ga shaga ai marai wan 340 kaw na wan 500 lapran hte wan 800 daram gaw tsun shaga ga hpe chye na ma ai.",,,,
"Hindi and Urdu are similar in vocabulary but different in script; in everyday conversations, speakers of both languages can usually understand each other.","Hindi hte Urdu gaw ga bungai raitim laika nbung ai; ga shagu, shaga ai lahkang yang shada da chye na ma ai.",,,,
"Around the 15th century, northern Estonia was under great cultural influence of Germany.","Tsa ban 15th daram hta, Estonia dingdung gaw Germany a htunghking grai nan ka'up da ai ten re.",,,,
"Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language.","Nkau Germany hpunggyi ni gaw Karai Kasang hpe masha ni hte grau ni htep hkra la wa mayu ma ai, dai majaw shanhte gaw Estonian laika hpe galaw shapraw lai wa ai re.",,,,
"It was based on the German alphabet and one character ""Õ/õ"" was added.","Dai hpe German laika kanu kaw na la da ai re ngut nna ""Õ/õ"" hpe kahtap bang da ai re.",,,,
"As time passed, many words that were borrowed from German coalesced. This was the beginning of enlightenment.","Aten ni lai wa sai zawn, German kaw na la da ai ga ni yawng gayau wa sai. Dai gaw chye wa ai a ningpawt re.",,,,
"Traditionally, the heir to the throne would go straight into the military after finishing school.",Jawng ngut ai hpang hkaw hkam aya hpe hpyen dap de shap da na re.,,,,
"However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).","Raitim, Charles gaw Cambridge kaw na Trinity dakkasu hta Anthropology hte Archaeology hpe sharing wa sai, ngut nna hpang de labau, 2:2 (madang nem ai jam mau) hpe lu wa ai.",,,,
Charles was the first member of the British Royal Family to be awarded a degree.,Hkaw hkam kasha Charles gaw British hkawhkam nta masha ni kaw na shawng nnan jam mau gup lu ai wa rai nga ai.,,,,
European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) includes 3% of the country.,Europa na Turkey (Balkan zundawn na sinpraw Thrace Rumelia) gaw mungdan a 3% lawm ai.,,,,
"The territory of Turkey is more than 1,600 kilometres (1,000 mi) long and 800 km (500 mi) wide, with a roughly rectangular shape.","Turkey madu ai ginwang ni gaw 1,600 kilometers (1,000 mi) galu nna 800 km (500 mi) hta grau dam nga nna rectangular hkrang zawn rai nga ai.",,,,
"Turkey's area, including lakes, occupies 783,562 square kilometres (300,948 sq mi), of which 755,688 square kilometres (291,773 sq mi) are in south west Asia and 23,764 square kilometres (9,174 sq mi) in Europe.","Nawng ni ma lawm, Turkey mungdan a shara gaw, 783,562 square kilometres (300,948 sq mi) kaba ai re nna, 755,562 square kilometres (291,773 sq mi) gaw Asia dan a dingda sinna maga re nhktawm 23,764 square kilometres (9,174 sq mi) gaw Europe maga hkran de re.",,,,
"Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined.","Turkey shara gaw mungkan hta 37th kaba dik re, ngut nna dai gaw Metropolitan France hte the United Kingdom pawng da ai daram re.",,,,
"Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.","Turkey mungdan hpe panglai masum gaw shinggrup tawn ai: sinna maga de gaw Aegean panglai, ding dung maga de gaw Panglai Chyang hte dingda maga de gaw Hkarang panglai ni rai nga ai.",,,,
Luxembourg has a long history but its independence dates from 1839.,Luxembourg gaw grai galu ai ahtik labau lu ai rai timung shi a shang lawt lu ai nhtoi hpang ai gaw shaning 1839 kaw na she re.,,,,
Present-day parts of Belgium were part of Luxembourg in the past but became Belgian after the 1830s Belgian Revolution.,Belgium na ya aten ni gaw Luxembourg na moi na aten ni re raitim Belgian gaw shaning 1830 Belgian Revolution hpang byin wa ai re.,,,,
Luxembourg has always tried to remain a neutral country but it was occupied in both World War I and World War II by Germany.,"Luxembourg gaw galoi mung ka-ang ai mungdan langai hku nga shakut ai, raitim Mungkan Majan I hte Mungkan Majan II hta gaw Germany ni shi hpe aup hkang wa sai.",,,,
In 1957 Luxembourg became a founding member of the organization which is today known as the European Union.,Shaning 1957 hta Luxembourg gaw dai ni Uropa Munghpawm ngu mying ai uhpung uhpawng a gaw sharawt hpung malawm byin wa sai re.,,,,
The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,Drukgyal Dzong gaw hten mat sai numhkap dap ba hte Paro ginwang a ntsa daw kaw na Budha hpungki jawng gaw (Phondey mare kaw) re nga ai.,,,,
"It is said that in 1649, Zhabdrung Ngawang Namgyel created the fortress to commemorate his victory against the Tibetan-Mongol forces.","Dai gaw shaning 1649 hta, Zhabdrung Ngawang Namgyel gaw Tibentan-Mongol ni hpe dang wa ai hpe bai myit dum na matu dai dap hpe galaw wa ai re.",,,,
"In 1951, a fire caused for only some of the relics of the Drukgyal Dzong to remain, such as the image of Zhabdrung Ngawang Namgyal.","Shaning 1951 kaw gaw, wan gaw Drukgyal Dzong a sali wunli nkau myi sha, Zhabdrung Ngawang Namgyal a sumla jawn re ai ni hpe sha ngam mat hkra galaw lai wa sai.",,,,
"After the fire, the fortress was preserved and protected, remaining to be one of Bhutan's most sensational attractions.",Wan hkru katut ai hpang dai ninghkap dap ba hpe Bhutan a labau shang ai myit agang shara langai rai wa hkra atsawm sha kyem zing makawp maga da ma ai.,,,,
"During the 18th century Cambodia found itself squeezed between two powerful neighbors, Thailand and Vietnam.",18th century hta Cambodia gaw mungdan kaba lahkang Thailand hte Vietnam lapran kaw na shi hkrai shapru wa ai.,,,,
The Thais invaded Cambodia several times in the 18th century and in 1772 they destroyed Phnom Phen.,"Thai masha ni gaw tsa ban 18 hta Cambodia mungdan hpe hpyen n-gun hte grai lang shang gasat wa sai, 1772 ning hta Phnom Phen hpe jahten kau ma sai.",,,,
In the last years of the 18th century the Vietnamese also invaded Cambodia.,Tsa ban 18 jahtum na shaning ni hta Vietnam gaw Cambodia de hpyen n-gun hte shang gasat ai.,,,,
"Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.","Venezuelan a tsa lam shadang shi matsat gaw bungli nnga ma ai, dai kaw na malawng gaw tara nshang ai bungli dabang hkan bungli shang ma ai.",,,,
"Two thirds of Venezuelans who work do so in the service sector, nearly a quarter work in industry and a fifth work in agriculture.","Venezuela masha yawng kaw na law malawng gaw lajang ya ai bungli hta galaw ma ai, nkau mi gaw rai ni shapraw ai kaw galaw ma ai ngut nna kaang hkup gaw hkai lau hkai sha bungli hta galaw ma ai.",,,,
"An important industry for Venezuelans is oil, where the country is a net exporter, even though only one percent work in the oil industry.","Venezuela masha ni a ahkyak ai jak rung langai gaw sau shapraw ai re, sau jak rung gaw tsa lam shadang langai sha nga tim mungdan jashang gunrai ni hta na grau ai mungdan shapraw gunrai re.",,,,
"Early in the nation's independence, Singapore Botanic Gardens' expertise helped to transform the island into a tropical Garden City.","Mungdan shang lawt lu ai a shawng daw de, Singapore hpun kawa hpaji hte seng ai nam pan sun a kungkyang ai ni gaw dai zinlawng hpe kahtet ai nam pan sun mare de galai shai lu wa hkra garum ya lai wa sai re.",,,,
"In 1981, Vanda Miss Joaquim, an orchid hybrid, was chosen as the nation's national flower.","Shaning 1981 hta Vanda Miss Joaquim, hpan kayau wa madai pan hpe mungdan a myu sha nam pan hku lata masat da sai.",,,,
"Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains.",Hpun lap sha dusat wan 1.5 ram gaw shaning shagu marang ra ai majaw dingdung kawng mayan kaw na Mara Hka nu lai di nna dingda pa layang de hkawm sa ma ai.,,,,
"And then back to the north through the west, once again crossing the Mara river, after the rains in around April.","Dai hpang sinna maga hpe laidi nna dingdung maga bai wa ai shaloi, kalang bai Mara hka nu hpe shata man mali shata hkan na marang tawng ai hpang bai rap lai ra na re.",,,,
"The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.","Serengeti ginwang kaw Tanzania na Maswa Ginsup Ginra, Ngorongoro Gawn hkang Ginra hte Seregeti Myusha Nampan sun hte Kenya kaw Maasai Mara Myusha Ginra ni lawm ai.",,,,
"Learning to create interactive media requires conventional and traditional skills, as well as tools mastered in interactive classes (storyboarding, audio and video editing, story telling, etc.)","Hti htang akyu jaw ai shi ga dap hpe shalat shapraw na matu hka ja la ai lam hta htung lai hkan ai hte htung hking hte seng ai hpaji kunglet ai lam, hti htang akyu jaw ai lam hte seng ai jawng gawk kata na hkingrai ni hpe kung kyang ai lam (sumla ni hte seng ai lam hpe zinlum ai lam, nsen hte sumla hkrung hpe jep shagrin ai lam hte mau mwi tsun ai lam) ni hpe ra ahkyak nga ai.",,,,
Interactive design requires that you re-assess your assumptions about media production and learn to think in a non-linear ways.,Nang media shapraw ai lam hpe nang maram masam da ai lam hpe nang bai jep maram na hte dingyang lam hku nre ai baw myit na matu kahti galai shalat maka gaw ra nga ai.,,,,
"Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.",Hti htang akyu jaw ai shalat maka ni gaw masing ni hpe langai hte langai matut mahkai na matu dawchyen ni ra nga ai raitimung garan ai hku kri namta ni zawn mung akyu pru nga ai.,,,,
The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses.,"Sumla ni hkra, tsan hkra galaw ya ai jan nhpai ni a nkaja ai akyu gaw maju jung yak ai lam, jan nhpai law law ra ai lam ni rai nga ai.",,,,
This is becoming less of an issue as lens manufacturers achieve higher standards in lens production.,Man balu galaw ai lam hta awngdan tsaw ai hte maren dai kaw manghkang ni yawm wa ai.,,,,
This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length.,Ndai gaw ka'ang galu masat da ai pat nhpai hte rau ningja rawng shadawn la mai ai sumla ni hpe shapraw lu na matu zoom pat nhpai ni bang da ai.,,,,
Another disadvantage of zoom lenses is that the maximum aperture (the speed) of the lens is usually lower.,Laga grau kaba mai ai rai na nkaja ai lam gaw kaba dik (lawan) ai rai gaw nkaja ai re.,,,,
This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.,Ndai lam ni gaw manu hkyem sa ai sumla ni tsan galaw ai pat ni hpe nsin shau ai masa hta kemara kaprip wan nlawm ai sha lang na matu yak shangun ai re.,,,,
One of the most common problems when trying to convert a movie to DVD format is the overscan.,"Sumla hkrung langai hpe DVD hkrang de galai na matu shakut ai shaloi, law malawng madung re ai manghkang langai mi gaw, kompyuta hte sumla dem shakap shalai mat ai lam rai nga ai.",,,,
Most televisions are made in a way to please the general public.,TV lamang law malawng gaw yu maya masha ni hpe shapyaw na matu sha lajang da ai.,,,,
"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","Dai madi madun ai a matu, nang TV kaw mu ai lam yawng gaw shi shingwang kata rep, lahta, npu, maga ga de ni sha re.",,,,
This is made to ensure that the image covers the whole screen. That is called overscan.,Pat man ting hta dai sumla atsawm mu na matu ndai hpe shateng galaw da ai. Dai hpe scan lai ai nga ma ai.,,,,
"Unfortunately, when you make a DVD, it's borders will most likely be cut too, and if the video had subtitles too close to the bottom, they won't be fully shown.","Gam nkaja ai hku, nang DVD galaw ai shaloi, shi a makau ndung ni hpe di kau na zawn re nga ai hte lama na sumla hkrung kaw laika madun ai shaloi npu de grai kap taw nna shanhte hpe yawng nmai madun na ra ai.",,,,
"The traditional medieval castle has long inspired the imagination, conjuring up images of jousts, banquets and Arthurian chivalry.","Htung hking hte seng ai ka-ang prat na lang gyi ni kaw myit n-gun lu na myit nshat, marai lahkawng gumra jawn let gasat hkat ai, hkik hkam ai lu sha lamang ni hte Hkaw Hkam Arthur a share shagan ai lam hpe shingran pra mu lu hkra galaw da ai lam ni law law nga nga ai.",,,,
"Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits.","Moi shaning hking hku kaw na chyahten re ni lapran kaw tsap taw yang moi na hpyen kasat wa ai ntsen hte shingran ni hpe bai lu na re, nlung lam kaw lam hkawm ai zawn ntsen ni ngut nna ga hku kaw na pru wa ai shingran zawn re ni pi lu wa na daram re.",,,,
But is our imagination based on reality? Why were castles built in the first place? How were they designed and built?,"Raitim, anhte a myit ai lam ni gaw ta tut mabyin hta mahta ai re kun? Langchyi ni hpe hpa rai nambat langai shara hta gaw gap lai wa ai kun? Shanhte gara hku shalat maka ni galaw nna gaw gap ma ai kun?",,,,
"Typical for the period, Kirby Muxloe Castle is more of a fortified house than a true castle.","Kaja aten hta, Kirby Muxloe Castle gaw castle majing ni hta pi grau hkrak ai re.",,,,
Its large glazed windows and thin walls would not have been able to resist a determined attack for long.,Dai a kaba ai pat hku hte hpa ai bunghku gaw atsawm myit shatawng gasat ai hpe na na hkam jan lu na nre.,,,,
"In the 1480s, when its construction was begun by Lord Hastings, the country was relatively peaceful and defense was only required against small bands of roving marauders.","1480 ning hta, ndai gaw sharawt lam hpe Lord Hastings wa e woi galaw hpang wa ai shaloi gaw ndai mungdan kaw gaw simsa lam nga wa nna shim lum lam a matu gaw ajawt hkawm nna sa hkawm ai masha uhpung kaji ni hpe dinghkap gasat ra lai wa ai re.",,,,
The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states.,Daru magam rap ra lam ngu ai gaw Uropa mungdan ni yawng a awmdawm daru magam lu na matu jai lang ai lai ladat rai nga ai.,,,,
"The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance.","Ndai lai ladat a ningmu gaw Uropa mungdan yawng hta na mungdan langai ngai n-gun ja, shingkang shingwang lu wa na hpe tau hkrau makawp maga nhtawm, mungdan Asuya ni hku nna yawng rap rap ra ra byin tai na matu tinang mungdan a jinghku mungdan hpe loi hkring hkring galai na hku rai nga ai.",,,,
The War of Spanish Succession marked the first war whose central issue was the balance of power.,Spain a Majan dang hkring htawng dagraw ai lam gaw shawng nna majan hta gin jaw a masing re ai ahkang aya shingdaw shangang ai lam hpe masat da sai.,,,,
"This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, the Thirty Years' War would be the last war to be labeled a religious war.","European ngun ni gaw dai makam masham majan a nkaja ai lam ni nga ai zawn dai gaw ahkyak ai langai rai wa sai. Dai majaw, shaning sumshi majan gaw makam masham majan a hpang chyhtum rai wa sai re.",,,,
"The temple of Artemis at Ephesus was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.","Ephesus kaw na Artemis nawku jawng gaw shata ma hkru 21 ya, 356 BCE hta Herostratus e galaw shut hpyit lai wa ai wan nat ai amu kaw jahten jaza hkrum lai wa sai re.",,,,
"According to the story, his motivation was fame at any cost. The Ephesians, outraged, announced that Herostratus' name never be recorded.","Dai mau mwi hku tsun ga nga yang, shi myit rawt ai lam gaw kaja nan mying gumhkawng lai wa sai. Ephesians gaw maroi nni ai hte Herostratus ngu ai mying hpe galoi nna yu ai nga ndau dat ai.",,,,
"The Greek historian Strabo later noted the name, which is how we know today. The temple was destroyed on the same night that Alexander the Great was born.","Greek labau ka sara Strabo gaw hpang e mying ni hpe matsing da lai wa sai, dai gaw ndai prat hta anhte gara hku na chye la lu lam rai nga ai. Nawku jawng gaw Alexender the Great shangai ai shana kaw sha jahten shabyak kau ai hkrum lai wa sai.",,,,
"Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE.","Alexander gaw hkawhkam langai hku na nawku htingnu gaw gap na ga gumhpraw jaw na matu tsun ai raitimung shi tsun ai ni hpe ningdang kau ya ma ai. Dai hpang, Alexander si mat ai hpang, shaning 323 BCE kaw nawku htingnu hpe bai gaw gap lai wa sai re.",,,,
Make sure your hand is as relaxed as possible while still hitting all the notes correctly - also try not to make much extraneous motion with your fingers.,Nang na lata hpe yungwi nsi note ni yawng hpe jaw hkra dum ai shaloi mai byin ai daram shayawm da na matu sadi u. bai nna nang na lata layung ni hpe tingtawk nseng n-ang ai hkam sha lam ni nlaw na matu mung shakut u.,,,,
"This way, you will tire yourself out as little as possible. Remember there's no need to hit the keys with a lot of force for extra volume like on the piano.","Ndai ladat gaw, na hkum nang gau ngwi gau gwi hki ba shangun na re. Piano kaw nsen shaja na matu ja ja dip ra ai zawn gaw Jaw hpe n-gun law law hte ndip ra ai hpe dum u.",,,,
"On the accordion, to get extra volume, you use the bellows with more pressure or speed.",Accordion madum sumpyi hta nsen shaja na matu bellow ni hpe n-gun grau shadat nna (sh) grau lawan ai hku pat let dum ra ai.,,,,
"Mysticism is the pursuit of communion with, identity with, or conscious awareness of an ultimate reality, divinity, spiritual truth, or God.","Wenyi masa gaw poi daw sha ai lam hkan galaw ai, teng sha Karai a hpung shingkang, wenyi lam ni hpe ta tut hkan sa ai lam rai nga ai.",,,,
"The believer seeks a direct experience, intuition, or insight into divine reality/the deity or dieties.","Kam sham ai ni gaw Nat (sh) nat shayi ni a mau na zawn re ai shingra tara ni hpe tatuk hkrum kadut na matu, chye chyang ai lam lu na matu (sh) myithtoi nyan lu na matu sawk tam ma ai.",,,,
"Followers pursue certain ways of living, or practices that are intended to nurture those experiences.",Nampan ni gaw lai nli re ai kan bau lam hpe hkan shachyut ai (sh) shaman ai a madung gaw dai mahkrun madup ni hpe bau maka na matu re.,,,,
"Mysticism can be distinguished from other forms of religious belief and worship by its emphasis on the direct personal experience of a unique state of consciousness, particularly those of a peaceful, insightful, blissful, or even ecstatic character.","Wenyi masa hpe gaw laga nawku htung hte seng ai makam hpan ni hte laklai re ai mabyin masa hpe dingtawk re ai tingkyen mahkrum madup a machye machyang hte alak myi re nna ngwi pyaw sim sa ai, myi htoi nyan lu ai lam, grai kabu pyaw ai lam kajawng kaja atsam n-gun lu wa ai laklai kumla zawn pyi re ai ni hpe nawku daw jau ai lam hpan ni kaw na mai garan ginghka la mai nga ai.",,,,
Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.,Sikhs htung gaw Kala dan daw na makam masham langai re. Dai gaw tsa ban 15th laman Hindu htung hking kata uhpung garan mat ai kaw na Punjab ginra kaw na madung pru wa ai re.,,,,
Sikhs consider their faith to be a separate religion from Hinduism though they acknowledge its Hindu roots and traditions.,Sikhs gaw Hindu makam hkring htawng hpe hkam la da tim Hindu htung hking kaw na nbung ai makam masham hpung langai ngu sa ai.,,,,
"Sikhs call their religion Gurmat, which is Punjabi for ""way of the guru"". The guru is a fundamental aspect of all Indian religions but in Sikhism has taken on an importance that forms the core of Sikh beliefs.","Sikhs ni gaw shanhte a nawku hpung hpe Punjabi na ""hpung sara ni a lam"" re nga ai Gurmat ngu shaga tsun ma ai. Hindu, Sikh hung sara ni gaw India nawku hpung ni yawng a rudi npawt dawsang rai nga ai raitimung Sikh nawku hpung kaw gaw Sikh makam masham a grai ahkyak ai hkrang kumla pru na matu la kau ai rai ma ai.",,,,
The religion was founded in the 15th century by Guru Nanak (1469–1539). There followed in succession a further nine gurus.,Dai nawku htung hpe Guru Nanak (1469-1539) hku na tsaban 15th hta mu tam wa ai. Dai hpang sikt hpung sara jahku mung awng dang ai hpang bai hkan nang wa ma ai.,,,,
"However, in June 1956, Krushchev's promises were put to the test when riots in Poland, where workers were protesting against food shortages and wage cuts, turned into a general protest against Communism.","1956 Jun shata hta, Krushchev a ga sadi ni gaw Poland hta kasu kabrawng byin ai ten tsun ai galaw ai kun ngu hpe la yu ra ai ten re wa sai. Dai lam gaw bungli galaw ai ni gaw lusha taw wa ai ten, bungli shabrai njaw ai ten, Kummyunit lailen hpe ninghkap ai de gale wa ai ten re.",,,,
"Although in the end, Krushchev sent in tanks to restore order, he did give way to some economic demands and agreed to appoint the popular Wladyslaw Gomulka as the new prime minister.","Kaning raitim, hpang jahtum hta gaw Krushchev mung arawng aya bai la na matu tank mawdaw ni sa dat ai. Sut masa hte seng ai hpyi shawn lam ni hpe jaw ya nna, mying kaba nga ai Wladyslaw Gomulka hpe mung hkringmang daju nnan hku lit ap ya na matu hkap la sai.",,,,
The Indus Valley Civilization was a Bronze Age civilisation in the northwest Indian subcontinent encompassing most of modern-day Pakistan and some regions in northwest India and northeast Afghanistan.,"Indus Valley Civilization gaw sinna dingdung Kala dan daw chyen, ya prat na Pakistan mundan hte sinna dingdung Kala buga nkau mi hte sinpraw dingdung Afghanistan ni gaw magri prat a shinggyim gan ga ai shara ni byin lai wa sai.",,,,
The civilisation flourished in the basins of the Indus River wherefore it derives its name.,Indus River hka mayan kaw na rawt jat kalu kaba wa ai amyu ni kaw na dai mying hpe la da ai re.,,,,
"Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s.","Hpaji ninghkrin ni gaw ya hkraw hkrun mat sai Sarasvasti hka nu a hkam wam hkan kaw mung shinggyim hpawng nga lai wa sai majaw dai shara hpe, masha ni Harappa hpe yu nna Harappan shinggyim gan ga lai wa sai shara ngu shaga ma tim, grau na htap htuk hkra Indus-Sarasvativ masha nga pra rawt majan lai wa sai shara ngu shaga na hku tak maram yu ai raitim, 1920 ning hkan gaw shi a htingra hpe htu shaw kau ma sai.",,,,
The militaristic nature of the Roman empire aided in the development of medical advances.,Roman hkaw seng a hpyen kasat ai ladaw masa gaw tsi hpaji rawt jat wa na matu yaw shada wa ai re.,,,,
Doctors began to be recruited by Emperor Augustus and even formed the first Roman Medical Corps for use in the aftermath of battles.,Hkawseng magam Augustus gaw tsi du ni hpe lahkawn hpang nna majang ngut ai hpang matut jai lang na matu shawng na Roma Tsi Hpung hpe mung hpaw ninghtan da ai.,,,,
Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.,Ga lajang tsi du ni gaw kani tum na shaw da ai morphine hte numru tsi na scopolamine ni lawm ai myit zim tsi amyu myu shapraw la ai hpaji ni hpe chye ma ai.,,,,
They became proficient at amputation to save patients from gangrene as well as tourniquets and arterial clamps to stem blood flow.,Shanhte gaw hkum kaw na sai nhkawm ai shara ni hpe di kau na tsi ai lam ni hta grai ram wa ai ngut nna sai ni hpe lakawn ai ngut nna sai pat ai ni hpe yen nna lu hkawm hkra galaw ma ai.,,,,
"Over multiple centuries, the Roman empire led to great gains in the field of medicine and formed much of the knowledge we know today.","Mungdan law law hta, Roman mungdan gaw tsi hpaji hte ya prat lang ai hpaji law law ni hta shawng hpang wa ai re.",,,,
"Pureland origami is origami with the restriction that only one fold may be done at a time, more complex folds like reverse folds are not allowed, and all folds have straightforward locations.",Pureland origami ngu ai gaw masat da ai ripkawp ni lawm ai rai nna kapum hkang kalang sha mai lawm nna grau shuk ai kapum hkang ni gaw nmai galaw ai.,,,,
It was developed by John Smith in the 1970s to help inexperienced folders or those with limited motor skills.,Dai hpe sengke jawn ai ni dai ram nau nchye jawn ai ni hpe karum na matu John Smith gaw 1970 hta gin shalat da ai re.,,,,
Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior.,Mani gaw masha amyu ni a latat htee hkrang ni hpe kaji ai kaw na chye na ai lam grau rawt jat wa ai.,,,,
"For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race.","Lama na, myu kaji kaw na ma ni gaw jawng kaw nshakut ai gaw shanhte a myu kaji a ladat a ayang galaw ai lam hte sa bung taw ai re.",,,,
MySpace is the third most popular website used in the United States and has 54 million profiles currently.,MySpace gaw United States kaw nambat masum mying kaba dik website re nna ya yang pi masha wan 54 lang taw ma ai.,,,,
"These websites have gotten a lot of attention, especially in the education setting.","Dai website hpe masha grai ra ma ai, hpaji tam ai ni grau re.",,,,
"There are positive aspects to these websites, which include, being able to easily setup a class page which can include blogs, videos, photos, and other features.","Blog, sumla hkrung, sumla hte kaga ni lawm ai hpe a loi sha mai galaw la ai internet sharin laika man zawn re ndai website ni hpe kaja ai hku mu mada ai ni ma nga ai.",,,,
"This page can easily be accessed by providing just one web address, which makes it easy to remember and easy to type in for students who may have trouble using the keyboard or with spelling.","Dai laika man de web shara mying langai bang nna aloi sha mai shang ai, dai gaw laika nchye ka ma jawng ma ni na matu shaloi sha mai ka na hte chye matsing na matu galaw da ai re.",,,,
It can be customized to make it easy to read and also with as much or little color as desired.,Dai hpe lu hti na matu rai ai hku mai galaw ai ngut nna hkrang law law dai nrai kachyi sha rai ai hku mai galaw ai.,,,,
"Attention Deficit Disorder ""is a neurological syndrome whose classic defining triad of symptoms including impulsivity, distractibility, and hyperactivity or excess energy"".","Attention Deficit Disorder gaw ""maju lasa hte seng ai ana kumla re dai gaw du ladi re ai lam, myit maju galai ai lam hte n-gun shajan shalai re ai zawn re ana kumla ni hpe majaw byin shangun ai.""",,,,
"It is not a learning disability, it is a learning disorder; it ""affects 3 to 5 percent of all children, perhaps as many as 2 million American children"".","Dai gaw nmai sharin ai nre, dai gaw nhti nhtang byin ai re; dai gaw ma ni hta 3 kaw na 5 percent daram byin ai re, American ma ni sen 2 daram nga na re.",,,,
"Children with ADD have a hard time focusing on things like school work, but they can concentrate on things they enjoy doing like playing games or watching their favorite cartoons or writing sentences without punctuation.","ADD rau re ai ma ni gaw jawng laika zawn re ai arai ni kaw myit maju jung na matu yak hkak ai aten ni nga ai rai timung shanhte gaw ginsup hpan ginsup ai lam shanhte a ra dik ai cartoon sumla hkrung ni yu ai lam ga hkring, ga sa bang ai lam n-nga ai sha ga yan ni hpe ka ai lam zawn re ai shanhte galaw pyaw dum ai arai ni hpe gaw myit maju lu jung ma ai re.",,,,
"These children tend to get into a lot of trouble, because they ""engage in risky behaviors, get into fights, and challenge authority"" in order to stimulate their brain, since their brain can not be stimulated by normal methods.","Dai ma ni a bawnu gaw shawoi na ladat hku sharawng shara nnga ai kaw na, shanhte bawnu bungli galaw na matu dai ma ni gaw manghkang grai galaw wa na masa nga ai, hpa majaw nga yang shanhte gaw ""hkrit ra ai arawn alai galaw hpang ai, ga law hkat ai hte up hkang salang ni hpe dangrang hkat ai"".",,,,
ADD affects relationships with other peers because other children can not understand why they act the way that they do or why they spell they way they do or that their maturity level is different.,ADD gaw laga sak rum ni rau kanawn mazum ai lam hpe akyu jaw ya nga ai hpa majaw nga yang laga ma ni gaw shanhte galaw ai lam hpe hpa majaw galaw ai hpa majaw shanhte ni shachyaw ai hku laika si ni hpe shachyaw ai ngu ai lam ni hpe nlu chye na ma ai shanhte a myit kung ai lam gaw nbung ai majaw rai na re.,,,,
As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.,Machye machyang hkam la lu na hte galai shai ai lam hkaja lu na atsam gaw galai shai hkaja la chye ai hpaji npawt hpe lahta kaw htawng madun da sai zawn sha re.,,,,
"The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.","Shiga la na matu galaw ai lam gaw shai ai re. bai shaga ai hta dai kaw nga ai ni hpe myit npyaw hpa nga ai, raitim dai shaga ai laika gaw yang myit shang sha ai rai wa ai.",,,,
